Kristillisdemokraatit;4;5;4
Kristillisdemokraatit;1;5;4
Kristillisdemokraatit;5;5;1
Kristillisdemokraatit;1;5;1
Kristillisdemokraatit;1;5;1
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;2;5;2
Kristillisdemokraatit;1;4;1
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;5;2;2
Kristillisdemokraatit;4;2;4
Kristillisdemokraatit;4;2;2
Kristillisdemokraatit;2;5;1
Kristillisdemokraatit;4;4;4
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;1;5;1
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;4;5;1
Kristillisdemokraatit;4;5;2
Kristillisdemokraatit;4;5;1
Kristillisdemokraatit;5;4;4
Kristillisdemokraatit;4;5;4
Kristillisdemokraatit;-;-;-
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;2;5;1
Kristillisdemokraatit;2;5;2
Kristillisdemokraatit;4;4;4
Kristillisdemokraatit;4;4;2
Feministinen puolue;5;2;5
Feministinen puolue;5;2;5
Feministinen puolue;5;2;5
Feministinen puolue;5;2;5
Feministinen puolue;5;2;5
Feministinen puolue;5;2;5
Feministinen puolue;5;2;4
Feministinen puolue;5;2;5
Feministinen puolue;5;4;5
Feministinen puolue;5;1;5
Feministinen puolue;-;-;-
Vihreät;5;2;5
Vihreät;5;2;5
Vihreät;5;1;5
Vihreät;5;2;5
Vihreät;5;4;5
Vihreät;5;1;5
Vihreät;5;2;5
Vihreät;5;2;5
Vihreät;5;2;5
Vihreät;5;1;4
Vihreät;5;2;5
Vihreät;5;2;4
Vihreät;5;2;4
Vihreät;5;2;4
Vihreät;5;2;5
Vihreät;5;1;5
Vihreät;5;1;5
Vihreät;5;1;5
Vihreät;5;2;4
Vihreät;5;1;5
Vihreät;5;2;4
Vihreät;5;2;5
Vihreät;5;4;5
Vihreät;5;4;4
Vihreät;5;1;5
Vihreät;4;4;4
Vihreät;5;2;4
Vihreät;5;4;4
Vihreät;5;1;4
Vihreät;5;1;5
Vihreät;5;2;4
Vihreät;5;2;5
Kommunistinen Työväenpuolue;2;4;1
Kommunistinen Työväenpuolue;-;-;-
Kommunistinen Työväenpuolue;-;-;-
Kommunistinen Työväenpuolue;-;-;-
Kommunistinen Työväenpuolue;2;4;4
Kommunistinen Työväenpuolue;-;-;-
Itsenäisyyspuolue;5;4;5
Itsenäisyyspuolue;5;1;1
Itsenäisyyspuolue;4;4;2
Itsenäisyyspuolue;1;5;1
Itsenäisyyspuolue;2;5;5
Itsenäisyyspuolue;1;5;1
Itsenäisyyspuolue;5;4;5
Itsenäisyyspuolue;5;2;5
Itsenäisyyspuolue;5;2;4
Itsenäisyyspuolue;5;;
Itsenäisyyspuolue;1;5;2
Itsenäisyyspuolue;4;4;5
Sitoutumaton;1;5;1
Sitoutumaton;1;5;1
Liike Nyt;4;4;2
Liike Nyt;2;4;1
Liike Nyt;2;5;2
Liike Nyt;5;2;2
Liike Nyt;2;5;1
Liike Nyt;5;1;5
Liike Nyt;4;5;1
Liike Nyt;2;5;4
Liike Nyt;2;4;2
Liike Nyt;4;2;4
Liike Nyt;5;4;5
Liike Nyt;4;4;2
Liike Nyt;4;4;4
Liike Nyt;4;4;2
Liike Nyt;1;5;1
Liike Nyt;4;5;1
Liike Nyt;4;4;2
Liike Nyt;5;2;4
Liike Nyt;5;4;5
Liike Nyt;4;2;4
Liike Nyt;4;4;2
Liike Nyt;2;4;1
Liike Nyt;4;5;2
Sitoutumaton;5;1;5
Liike Nyt;4;4;2
Perussuomalaiset;1;5;1
Vasemmistoliitto;5;4;2
Vihreät;5;1;5
Perussuomalaiset;4;4;1
Eläinoikeuspuolue;5;1;5
Feministinen puolue;5;2;5
Piraattipuolue;5;4;5
Liberaalipuolue;4;4;2
Liberaalipuolue;5;2;4
Liberaalipuolue;2;4;1
Liberaalipuolue;2;4;1
Seitsemän tähden liike;4;4;2
Seitsemän tähden liike;5;4;1
Perussuomalaiset;1;5;1
Perussuomalaiset;1;5;2
Vasemmistoliitto;5;2;5
Seitsemän tähden liike;1;5;1
Vihreät;5;1;5
Perussuomalaiset;1;5;1
Vasemmistoliitto;4;4;2
Piraattipuolue;5;2;5
Kokoomus;2;5;1
Vasemmistoliitto;5;2;4
Feministinen puolue;5;2;5
Perussuomalaiset;2;4;1
Perussuomalaiset;2;5;1
Perussuomalaiset;2;5;2
Vihreät;5;4;4
Piraattipuolue;5;4;4
Perussuomalaiset;1;4;1
Vihreät;5;1;5
Perussuomalaiset;1;5;1
Suomen Kommunistinen Puolue;4;5;2
Piraattipuolue;4;4;4
Perussuomalaiset;4;1;4
Suomen Kommunistinen Puolue;5;5;1
Suomen Kommunistinen Puolue;-;-;-
Suomen Kommunistinen Puolue;5;1;5
Sininen tulevaisuus;5;5;1
Vasemmistoliitto;5;1;5
Perussuomalaiset;1;5;1
Vasemmistoliitto;5;1;5
Vihreät;5;4;2
Feministinen puolue;5;2;5
Perussuomalaiset;1;5;1
Vasemmistoliitto;5;1;5
Feministinen puolue;5;2;5
Perussuomalaiset;1;5;2
SDP;4;2;4
SDP;5;2;4
Kristillisdemokraatit;2;5;2
Vasemmistoliitto;5;1;5
Kristillisdemokraatit;5;4;4
Vasemmistoliitto;5;2;5
Suomen Kommunistinen Puolue;5;2;5
Vasemmistoliitto;4;5;1
Vasemmistoliitto;5;1;5
Vasemmistoliitto;5;1;4
Suomen Kansa Ensin;1;5;2
Sininen tulevaisuus;2;5;1
Sininen tulevaisuus;2;4;2
Itsenäisyyspuolue;4;4;2
Kristillisdemokraatit;1;5;1
Kristillisdemokraatit;-;-;-
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;;;
Kristillisdemokraatit;-;-;-
Kristillisdemokraatit;4;5;4
Kristillisdemokraatit;4;4;2
Vasemmistoliitto;5;2;4
Vasemmistoliitto;5;2;4
Vasemmistoliitto;5;1;5
Vihreät;5;2;4
Kristillisdemokraatit;4;4;4
Kristillisdemokraatit;2;4;4
Kommunistinen Työväenpuolue;2;2;1
RKP;5;1;4
RKP;1;5;5
RKP;4;4;1
RKP;4;4;2
RKP;4;4;1
RKP;5;1;5
RKP;5;1;5
RKP;4;2;2
RKP;5;4;4
RKP;5;4;2
RKP;4;4;4
RKP;4;4;1
RKP;4;4;2
Kokoomus;5;2;4
Kokoomus;5;5;1
Kokoomus;4;2;4
Kokoomus;4;4;1
Kokoomus;4;5;2
Kokoomus;4;4;2
Kokoomus;4;4;2
Keskusta;4;4;4
Kokoomus;2;4;2
Kokoomus;4;4;4
Kokoomus;4;5;4
Kokoomus;5;4;4
Kokoomus;5;4;4
Kokoomus;2;4;2
Kokoomus;4;4;2
Vasemmistoliitto;5;1;5
Vihreät;5;1;5
Vihreät;5;1;5
Kansalaispuolue;2;5;4
SDP;5;1;4
SDP;5;2;5
SDP;5;4;4
SDP;4;2;4
SDP;5;1;5
SDP;4;2;4
SDP;4;4;2
SDP;5;5;1
SDP;5;2;2
SDP;5;4;2
SDP;5;1;5
SDP;5;2;4
SDP;5;2;5
Keskusta;4;;2
Keskusta;2;5;2
Feministinen puolue;5;2;5
Kokoomus;5;2;4
Keskusta;4;5;1
Keskusta;4;;1
Keskusta;5;4;2
Keskusta;5;4;2
Keskusta;5;2;4
Keskusta;5;5;5
Keskusta;5;4;2
Liike Nyt;5;2;5
Liike Nyt;2;2;2
Liike Nyt;4;2;
Liike Nyt;4;2;4
Vasemmistoliitto;5;2;5
Liike Nyt;4;5;1
Liike Nyt;5;2;4
Liike Nyt;4;4;4
Liike Nyt;1;5;1
Liike Nyt;4;2;4
Vihreät;5;2;5
Vihreät;5;1;5
Feministinen puolue;5;2;5
Feministinen puolue;5;2;5
Piraattipuolue;5;1;4
Kristillisdemokraatit;4;2;4
RKP;5;2;5
Keskusta;2;5;1
Keskusta;5;2;2
Keskusta;-;-;-
Keskusta;-;-;-
Keskusta;5;4;4
Keskusta;4;4;2
Keskusta;5;4;2
Keskusta;;2;2
Suomen Kansa Ensin;4;5;1
Perussuomalaiset;2;4;2
Suomen Kommunistinen Puolue;2;4;2
SDP;5;2;4
Suomen Kommunistinen Puolue;5;2;4
Suomen Kansa Ensin;1;5;1
Suomen Kommunistinen Puolue;5;4;2
Suomen Kommunistinen Puolue;5;;5
Suomen Kommunistinen Puolue;-;-;-
Suomen Kommunistinen Puolue;4;2;5
Suomen Kommunistinen Puolue;-;-;-
Seitsemän tähden liike;4;5;5
Sininen tulevaisuus;4;4;4
Eläinoikeuspuolue;5;1;5
Kristillisdemokraatit;4;2;4
Keskusta;4;4;2
